DISTNAME,CAMPNAME,CNTYNAME,Longitude,Latitude,STREET,CITY,ZIP,CAMPUS,year,COUNT_ALL,COUNT_BLACK,COUNT_HIS,COUNT_WHITE,COUNT_AI,COUNT_API,COUNT_ASIAN,COUNT_PI,COUNT_TWO,COUNT_ECON,COUNT_ELL,PER_BLACK,PER_HIS,PER_WHITE,PER_AI,PER_API,PER_ASIAN,PER_PI,PER_TWO,PER_ECON,PER_ELL
AUSTIN ISD,BEDICHEK M S,TRAVIS,-97.590128,30.243276,14000 WESTALL ST,AUSTIN,78725,227901054,01-01-11,1052,72,861,94,4,,5,1,,886,174,6.8,81.8,8.9,0.4,,0.5,0.1,,84.2,16.5
AUSTIN ISD,DOBIE M S,TRAVIS,-95.522094,29.819196,2801 BLALOCK RD,HOUSTON,77080,227901055,01-01-11,615,74,508,19,0,,8,0,,589,247,12,82.6,3.1,0,,1.3,0,,95.8,40.2
AUSTIN ISD,GARCIA MIDDLE,TRAVIS,-98.047822,29.666182,550 AVERY PKWY,NEW BRAUNFELS,78130,227901056,01-01-11,662,229,424,3,0,,0,0,,649,196,34.6,64,0.5,0,,0,0,,98,29.6
AUSTIN ISD,COVINGTON M S,TRAVIS,-95.687246,29.972184,13600 SKINNER RD,CYPRESS,77429,227901057,01-01-11,807,68,503,191,4,,13,8,,538,105,8.4,62.3,23.7,0.5,,1.6,1,,66.7,13
AUSTIN ISD,MENDEZ M S,TRAVIS,-96.806778,32.994307,17820 CAMPBELL RD,DALLAS,75252,227901058,01-01-11,879,56,808,9,2,,0,0,,845,331,6.4,91.9,1,0.2,,0,0,,96.1,37.7
AUSTIN ISD,BAILEY M S,TRAVIS,-96.686761,32.802599,1678 CHENAULT,DALLAS,75228,227901059,01-01-11,1035,68,499,391,7,,34,4,,358,42,6.6,48.2,37.8,0.7,,3.3,0.4,,34.6,4.1
AUSTIN ISD,SMALL M S,TRAVIS,-97.679957,30.307332,5908 MANOR RD,AUSTIN,78723,227901060,01-01-11,951,56,368,446,3,,43,0,,323,64,5.9,38.7,46.9,0.3,,4.5,0,,34,6.7
AUSTIN ISD,PAREDES M S,TRAVIS,-100.989426,31.840545,700 7TH ST,STERLING CITY,76951,227901061,01-01-11,933,65,740,91,3,,22,1,,747,196,7,79.3,9.8,0.3,,2.4,0.1,,80.1,21
AUSTIN ISD,GORZYCKI MIDDLE,TRAVIS,-98.519517,29.522424,200 LEMONWOOD,SAN ANTONIO,78213,227901062,01-01-11,963,20,225,618,2,,71,0,,70,23,2.1,23.4,64.2,0.2,,7.4,0,,7.3,2.4
AUSTIN ISD,ALLISON EL,TRAVIS,-97.319832,27.902257000000127,4601 WILDCAT DR,PORTLAND,78374,227901101,01-01-11,555,43,507,5,0,,0,0,,531,237,7.7,91.4,0.9,0,,0,0,,95.7,42.7
AUSTIN ISD,ANDREWS EL,TRAVIS,-95.68227,29.863431,6270 BARKER CYPRESS RD,HOUSTON,77084,227901102,01-01-11,701,118,550,14,9,,5,0,,686,465,16.8,78.5,2,1.3,,0.7,0,,97.9,66.3
AUSTIN ISD,BARTON HILLS EL,TRAVIS,-94.414947,31.642296,12952 ST HWY 7 E,MARTINSVILLE,75961,227901103,01-01-11,388,1,94,275,0,,2,2,,47,5,0.3,24.2,70.9,0,,0.5,0.5,,12.1,1.3
AUSTIN ISD,BECKER EL,TRAVIS,-100.582121,33.25234,700 MADISON,JAYTON,79528,227901104,01-01-11,208,24,150,28,2,,0,0,,163,74,11.5,72.1,13.5,1,,0,0,,78.4,35.6
AUSTIN ISD,BLACKSHEAR EL,TRAVIS,-95.676779,29.879483000000103,17610 FM 529,HOUSTON,77095,227901105,01-01-11,247,66,179,0,0,,0,0,,239,107,26.7,72.5,0,0,,0,0,,96.8,43.3
AUSTIN ISD,BLANTON EL,TRAVIS,-101.851106,35.192457,2026 S HUGHES,AMARILLO,79109,227901106,01-01-11,588,69,493,19,3,,0,0,,550,375,11.7,83.8,3.2,0.5,,0,0,,93.5,63.8
AUSTIN ISD,BRENTWOOD EL,TRAVIS,-101.891549,35.102827,4715 SUNDOWN LN,AMARILLO,79118,227901107,01-01-11,488,31,205,235,0,,4,0,,230,64,6.4,42,48.2,0,,0.8,0,,47.1,13.1
AUSTIN ISD,BROOKE EL,TRAVIS,-97.813295,32.441253,2000 CROSSLAND RD,GRANBURY,76048,227901108,01-01-11,433,41,367,21,2,,1,0,,417,127,9.5,84.8,4.8,0.5,,0.2,0,,96.3,29.3
AUSTIN ISD,BROWN EL,TRAVIS,-97.861354,27.511416,631 E FORDYCE,KINGSVILLE,78363,227901109,01-01-11,521,26,471,13,2,,1,0,,493,344,5,90.4,2.5,0.4,,0.2,0,,94.6,66
AUSTIN ISD,BRYKER WOODS EL,TRAVIS,-97.287819999999897,32.949658,12350 TIMBERLAND BLVD,FORT WORTH,76244,227901110,01-01-11,405,16,74,279,0,,19,0,,44,15,4,18.3,68.9,0,,4.7,0,,10.9,3.7
AUSTIN ISD,CAMPBELL EL,TRAVIS,-101.91402,33.541516,4812 58 ST,LUBBOCK,79414,227901111,01-01-11,360,175,177,2,2,,0,0,,340,92,48.6,49.2,0.6,0.6,,0,0,,94.4,25.6
AUSTIN ISD,CASIS EL,TRAVIS,-96.760023,32.773154,1718 ROBERT B COLLUM BLVD,DALLAS,75210,227901112,01-01-11,821,15,90,661,2,,19,0,,34,28,1.8,11,80.5,0.2,,2.3,0,,4.1,3.4
AUSTIN ISD,CUNNINGHAM EL,TRAVIS,-94.022178,30.181356,4150 N MAIN,VIDOR,77662,227901113,01-01-11,513,52,292,122,1,,17,1,,347,74,10.1,56.9,23.8,0.2,,3.3,0.2,,67.6,14.4
AUSTIN ISD,DAWSON EL,TRAVIS,-94.738997,30.161932,230 CR 2003 N,HARDIN,77561,227901114,01-01-11,329,20,287,16,0,,1,0,,306,118,6.1,87.2,4.9,0,,0.3,0,,93,35.9
AUSTIN ISD,ACES- ALTERNATIVE CENTER FOR ELEME,TRAVIS,-95.368872,29.637723,11000 SCOTT ST,HOUSTON,77047,227901115,01-01-11,20,3,17,0,0,,0,0,,19,5,15,85,0,0,,0,0,,95,25
AUSTIN ISD,GOVALLE EL,TRAVIS,-96.65771,33.705478,86 DYESS,DENISON,75020,227901116,01-01-11,400,54,337,5,1,,0,0,,390,138,13.5,84.3,1.3,0.3,,0,0,,97.5,34.5
AUSTIN ISD,GULLETT EL,TRAVIS,-95.364539,28.946555,1200 W ELEVENTH ST,FREEPORT,77541,227901117,01-01-11,540,8,75,428,3,,8,0,,47,7,1.5,13.9,79.3,0.6,,1.5,0,,8.7,1.3
AUSTIN ISD,HARRIS EL,TRAVIS,-96.786680322999644,32.800781950000385,3919 MUNGER AVE,DALLAS,75204,227901118,01-01-11,758,94,616,22,3,,14,0,,736,498,12.4,81.3,2.9,0.4,,1.8,0,,97.1,65.7
AUSTIN ISD,HIGHLAND PARK EL,TRAVIS,-95.71989,29.938608,10300 WARNER SMITH BLVD,CYPRESS,77433,227901119,01-01-11,660,11,97,501,1,,25,0,,42,26,1.7,14.7,75.9,0.2,,3.8,0,,6.4,3.9
AUSTIN ISD,JOSLIN EL,TRAVIS,-99.76043,32.412954,3145 BARROW ST,ABILENE,79605,227901120,01-01-11,362,15,269,57,2,,7,0,,298,137,4.1,74.3,15.7,0.6,,1.9,0,,82.3,37.8
AUSTIN ISD,LEE EL,TRAVIS,-96.983392,33.20834,600 LIBERTY BLVD,CROSS ROADS,76227,227901121,01-01-11,427,18,103,263,0,,20,1,,61,12,4.2,24.1,61.6,0,,4.7,0.2,,14.3,2.8
AUSTIN ISD,MAPLEWOOD EL,TRAVIS,-96.396416,33.504538,304 W ECHOLS LN,WHITEWRIGHT,75491,227901122,01-01-11,405,98,150,123,1,,8,0,,246,73,24.2,37,30.4,0.2,,2,0,,60.7,18
AUSTIN ISD,MATHEWS EL,TRAVIS,-97.767479,30.191389,6405 S IH 35,AUSTIN,78744,227901123,01-01-11,410,32,172,145,0,,46,0,,201,58,7.8,42,35.4,0,,11.2,0,,49,14.1
AUSTIN ISD,METZ EL,TRAVIS,-96.988649,32.967587,140 S HEARTZ RD,COPPELL,75019,227901124,01-01-11,503,31,447,11,0,,14,0,,477,263,6.2,88.9,2.2,0,,2.8,0,,94.8,52.3
AUSTIN ISD,OAK SPRINGS EL,TRAVIS,-96.811695,33.016299,5505 PLANO PKWY,PLANO,75093,227901125,01-01-11,284,83,194,2,0,,0,0,,280,61,29.2,68.3,0.7,0,,0,0,,98.6,21.5
AUSTIN ISD,ORTEGA EL,TRAVIS,-95.083613,29.494791,1315 HWY 3 S,LEAGUE CITY,77573,227901126,01-01-11,295,34,250,5,0,,4,0,,287,127,11.5,84.7,1.7,0,,1.4,0,,97.3,43.1
AUSTIN ISD,SANCHEZ EL,TRAVIS,-98.708525,29.692584,26615 TOUTANT BEAUREGARD,SAN ANTONIO,78006,227901127,01-01-11,597,18,550,7,2,,20,0,,574,361,3,92.1,1.2,0.3,,3.4,0,,96.1,60.5
AUSTIN ISD,PEASE EL,TRAVIS,-97.862816,32.955535,16025 FM 920,POOLVILLE,76487,227901128,01-01-11,257,56,115,73,0,,2,0,,75,5,21.8,44.7,28.4,0,,0.8,0,,29.2,1.9
AUSTIN ISD,PECAN SPRINGS EL,TRAVIS,-96.508059,32.077755000000131,116 BURLESON RD,MART,76664,227901129,01-01-11,541,209,316,7,2,,2,0,,518,214,38.6,58.4,1.3,0.4,,0.4,0,,95.7,39.6
AUSTIN ISD,PLEASANT HILL EL,TRAVIS,-94.120988,30.041483,3920 W CARDINAL DR,BEAUMONT,77705,227901130,01-01-11,618,49,526,35,1,,1,0,,567,281,7.9,85.1,5.7,0.2,,0.2,0,,91.7,45.5
AUSTIN ISD,READ PRE-K DEMONSTRATION SCH,TRAVIS,-94.580753,32.507687,200 BILLIE MARTIN PKWY,HALLSVILLE,75650,227901131,01-01-11,510,42,442,11,0,,7,0,,474,383,8.2,86.7,2.2,0,,1.4,0,,92.9,75.1
AUSTIN ISD,REILLY EL,TRAVIS,-101.38408,35.349615,106 W 11TH ST,PANHANDLE,79068,227901132,01-01-11,302,14,251,17,0,,16,0,,284,202,4.6,83.1,5.6,0,,5.3,0,,94,66.9
AUSTIN ISD,RIDGETOP EL,TRAVIS,-96.687563,32.762512000000129,2800 PRICHARD,DALLAS,75227,227901133,01-01-11,220,10,178,29,2,,1,0,,173,112,4.5,80.9,13.2,0.9,,0.5,0,,78.6,50.9
AUSTIN ISD,ST ELMO EL,TRAVIS,-96.695239999999899,32.749504000000115,7203 BURTON RD,DALLAS,75217,227901136,01-01-11,304,13,273,14,0,,0,0,,287,188,4.3,89.8,4.6,0,,0,0,,94.4,61.8
AUSTIN ISD,SUMMITT EL,TRAVIS,-98.42691,29.366838,314 GALWAY DR,SAN ANTONIO,78223,227901138,01-01-11,850,62,198,276,1,,277,1,,398,329,7.3,23.3,32.5,0.1,,32.6,0.1,,46.8,38.7
AUSTIN ISD,SIMS EL,TRAVIS,-94.979629,32.813707,2197 F M 2088,GILMER,75644,227901139,01-01-11,275,106,168,0,0,,1,0,,265,94,38.5,61.1,0,0,,0.4,0,,96.4,34.2
AUSTIN ISD,TRAVIS HTS EL,TRAVIS,-98.338787,26.203412,915 W EXPY 83,MISSION,78572,227901140,01-01-11,540,39,372,107,0,,1,0,,404,129,7.2,68.9,19.8,0,,0.2,0,,74.8,23.9
AUSTIN ISD,WALNUT CREEK EL,TRAVIS,-97.253727,32.881069,7600 WHITLEY RD,WATAUGA,76148,227901141,01-01-11,928,57,804,44,0,,16,0,,888,626,6.1,86.6,4.7,0,,1.7,0,,95.7,67.5
AUSTIN ISD,ALLAN EL,TRAVIS,-97.354712,31.103089,1414 W BARTON,TEMPLE,76504,227901142,01-01-11,379,24,350,5,0,,0,0,,360,213,6.3,92.3,1.3,0,,0,0,,95,56.2
AUSTIN ISD,PATTON EL,TRAVIS,-99.742788,32.463167,2442 CEDAR ST,ABILENE,79601,227901143,01-01-11,922,35,234,502,3,,99,0,,249,122,3.8,25.4,54.4,0.3,,10.7,0,,27,13.2
AUSTIN ISD,WOOTEN EL,TRAVIS,-98.487474,29.349805,102 GENEVIEVE ST,SAN ANTONIO,78214,227901144,01-01-11,703,52,600,34,1,,5,0,,673,496,7.4,85.3,4.8,0.1,,0.7,0,,95.7,70.6
AUSTIN ISD,ZAVALA EL,TRAVIS,-97.719446,26.175806,1701 DIXIELAND RD,HARLINGEN,78552,227901145,01-01-11,410,45,350,6,5,,0,1,,397,170,11,85.4,1.5,1.2,,0,0.2,,96.8,41.5
AUSTIN ISD,ZILKER EL,TRAVIS,-96.822067,32.747458000000108,201 E NINTH ST,DALLAS,75203,227901146,01-01-11,523,15,169,306,2,,5,0,,177,44,2.9,32.3,58.5,0.4,,1,0,,33.8,8.4
AUSTIN ISD,MENCHACA EL,TRAVIS,-97.314539,32.749542,1411 IM TERRELL CIR,FORT WORTH,76102,227901147,01-01-11,675,22,370,215,1,,40,3,,307,133,3.3,54.8,31.9,0.1,,5.9,0.4,,45.5,19.7
AUSTIN ISD,OAK HILL EL,TRAVIS,-95.555286,30.139198,8711 CREEKSIDE GREEN DR,THE WOODLANDS,77375,227901148,01-01-11,757,4,292,384,5,,52,3,,313,197,0.5,38.6,50.7,0.7,,6.9,0.4,,41.3,26
AUSTIN ISD,BARRINGTON EL,TRAVIS,-102.163331,33.814817,100 ELLWOOD BLVD,ANTON,79313,227901149,01-01-11,994,98,861,20,0,,6,1,,975,627,9.9,86.6,2,0,,0.6,0.1,,98.1,63.1
AUSTIN ISD,NORMAN EL,TRAVIS,-95.618766,29.723525,3303 SYNOTT RD,HOUSTON,77082,227901150,01-01-11,326,156,158,6,1,,0,0,,315,81,47.9,48.5,1.8,0.3,,0,0,,96.6,24.8
AUSTIN ISD,PILLOW EL,TRAVIS,-97.149391,31.515175,1801 KENDRICK LN,WACO,76711,227901151,01-01-11,657,117,327,119,0,,68,0,,456,228,17.8,49.8,18.1,0,,10.4,0,,69.4,34.7
AUSTIN ISD,WOOLDRIDGE EL,TRAVIS,-95.789421,32.889795,1751 W US HWY 69,EMORY,75440,227901152,01-01-11,878,40,777,20,2,,29,3,,859,692,4.6,88.5,2.3,0.2,,3.3,0.3,,97.8,78.8
AUSTIN ISD,DOSS EL,TRAVIS,-95.20861,29.651935,3820 S SHAVER,SO HOUSTON,77587,227901154,01-01-11,774,8,133,516,3,,88,0,,91,117,1,17.2,66.7,0.4,,11.4,0,,11.8,15.1
AUSTIN ISD,HILL EL,TRAVIS,-101.741739,34.172514,600 S ENNIS ST,PLAINVIEW,79073,227901155,01-01-11,735,20,154,471,0,,55,0,,101,48,2.7,21,64.1,0,,7.5,0,,13.7,6.5
AUSTIN ISD,ODOM EL,TRAVIS,-97.756681,30.203443,5107 I-35 S,AUSTIN,78744,227901156,01-01-11,663,33,560,55,6,,0,0,,604,261,5,84.5,8.3,0.9,,0,0,,91.1,39.4
AUSTIN ISD,WINN EL,TRAVIS,-98.579033,29.431991,222 SW 39TH ST,SAN ANTONIO,78237,227901157,01-01-11,480,149,311,11,0,,0,0,,465,241,31,64.8,2.3,0,,0,0,,96.9,50.2
AUSTIN ISD,SUNSET VALLEY EL,TRAVIS,-97.508845,28.978979,416 W 4TH,YORKTOWN,78164,227901158,01-01-11,444,6,364,58,1,,4,3,,368,235,1.4,82,13.1,0.2,,0.9,0.7,,82.9,52.9
AUSTIN ISD,GRAHAM EL,TRAVIS,-99.4235,31.811416000000122,301 W 15TH,COLEMAN,76834,227901159,01-01-11,755,117,575,37,4,,10,1,,714,401,15.5,76.2,4.9,0.5,,1.3,0.1,,94.6,53.1
AUSTIN ISD,LINDER EL,TRAVIS,-97.129432,31.993182,1600 ABBOTT AVE,HILLSBORO,76645,227901160,01-01-11,882,36,787,32,0,,21,0,,860,540,4.1,89.2,3.6,0,,2.4,0,,97.5,61.2
AUSTIN ISD,COOK EL,TRAVIS,-96.889782,32.980779,2400 N JOSEY LN,CARROLLTON,75006,227901161,01-01-11,908,113,737,28,0,,12,0,,877,599,12.4,81.2,3.1,0,,1.3,0,,96.6,66
AUSTIN ISD,HOUSTON EL,TRAVIS,-97.425782,30.58522,3100 DUCK LN,TAYLOR,76574,227901162,01-01-11,920,35,852,20,1,,2,1,,880,565,3.8,92.6,2.2,0.1,,0.2,0.1,,95.7,61.4
AUSTIN ISD,HART EL,TRAVIS,-101.830523,32.969873000000121,300 3RD ST,O'DONNELL,79351,227901163,01-01-11,892,66,810,7,3,,3,0,,864,654,7.4,90.8,0.8,0.3,,0.3,0,,96.9,73.3
AUSTIN ISD,PICKLE EL,TRAVIS,-95.409825,30.321487,200 ACADEMY DR,CONROE,77301,227901164,01-01-11,734,53,664,12,2,,0,0,,714,540,7.2,90.5,1.6,0.3,,0,0,,97.3,73.6
AUSTIN ISD,MCBEE EL,TRAVIS,-96.918144,33.116334,3101 STONEFIELD DR,THE COLONY,75065,227901165,01-01-11,757,63,680,8,2,,0,0,,750,567,8.3,89.8,1.1,0.3,,0,0,,99.1,74.9
AUSTIN ISD,WILLIAMS EL,TRAVIS,-101.89232,35.155607000000138,4927 SHAWNEE,AMARILLO,79109,227901166,01-01-11,634,53,479,71,3,,12,0,,510,134,8.4,75.6,11.2,0.5,,1.9,0,,80.4,21.1
AUSTIN ISD,LANGFORD EL,TRAVIS,-96.230554999999868,33.066089,2700 GILMER,CADDO MILLS,75135,227901168,01-01-11,847,41,771,30,1,,0,1,,808,507,4.8,91,3.5,0.1,,0,0.1,,95.4,59.9
AUSTIN ISD,BOONE EL,TRAVIS,-102.076648396999985,32.037788743000078,3800 N LAMESA RD,MIDLAND,79701,227901170,01-01-11,501,30,239,207,2,,9,0,,248,45,6,47.7,41.3,0.4,,1.8,0,,49.5,9
AUSTIN ISD,PALM EL,TRAVIS,-102.371736,33.577375,1500 AVE C,LEVELLAND,79336,227901171,01-01-11,603,46,519,23,0,,2,2,,508,256,7.6,86.1,3.8,0,,0.3,0.3,,84.2,42.5
AUSTIN ISD,KOCUREK EL,TRAVIS,-98.134475,26.185334,1819 W HWY 83,ALAMO,78516,227901172,01-01-11,663,48,406,168,1,,13,0,,467,119,7.2,61.2,25.3,0.2,,2,0,,70.4,17.9
AUSTIN ISD,CASEY EL,TRAVIS,-97.508562,28.978429,408 W 4TH,YORKTOWN,78164,227901173,01-01-11,673,56,448,130,1,,18,1,,458,123,8.3,66.6,19.3,0.1,,2.7,0.1,,68.1,18.3
AUSTIN ISD,RODRIGUEZ EL,TRAVIS,-95.226349,32.226901,104 HWY 110 N,WHITEHOUSE,75791,227901174,01-01-11,922,70,835,10,3,,0,0,,893,546,7.6,90.6,1.1,0.3,,0,0,,96.9,59.2
AUSTIN ISD,WIDEN EL,TRAVIS,-96.810539,33.16795500000012,10500 ROGERS RD,FRISCO,75034,227901175,01-01-11,782,59,704,16,0,,0,0,,742,419,7.5,90,2,0,,0,0,,94.9,53.6
AUSTIN ISD,GALINDO EL,TRAVIS,-99.746895,34.294317,600 W 7TH,QUANAH,79252,227901176,01-01-11,701,30,629,38,1,,0,0,,653,383,4.3,89.7,5.4,0.1,,0,0,,93.2,54.6
AUSTIN ISD,JORDAN EL,TRAVIS,-95.109527,32.754797,9788 STATE HWY 154 W,BIG SANDY,75755,227901178,01-01-11,831,184,627,2,4,,1,0,,805,491,22.1,75.5,0.2,0.5,,0.1,0,,96.9,59.1
AUSTIN ISD,DAVIS EL,TRAVIS,-95.177337,29.691434000000122,2503 E SOUTHMORE,PASADENA,77502,227901179,01-01-11,676,39,155,349,2,,79,1,,194,104,5.8,22.9,51.6,0.3,,11.7,0.1,,28.7,15.4
AUSTIN ISD,KIKER EL,TRAVIS,-95.455985,30.180355,9001 COCHRANS CROSSING DR,THE WOODLANDS,77381,227901180,01-01-11,932,13,154,619,3,,96,1,,44,64,1.4,16.5,66.4,0.3,,10.3,0.1,,4.7,6.9
AUSTIN ISD,MILLS EL,TRAVIS,-100.90238708299961,29.358713238000519,100 LAS VACAS,DEL RIO,78840,227901181,01-01-11,932,26,214,529,2,,115,0,,67,106,2.8,23,56.8,0.2,,12.3,0,,7.2,11.4
AUSTIN ISD,BARANOFF EL,TRAVIS,-97.465393,32.717492,3604 CIMARRON TR,FORT WORTH,76116,227901182,01-01-11,873,17,305,445,2,,64,0,,116,59,1.9,34.9,51,0.2,,7.3,0,,13.3,6.8
AUSTIN ISD,COWAN EL,TRAVIS,-102.3378,33.926435,120 N WESTSIDE,LITTLEFIELD,79339,227901183,01-01-11,781,35,338,340,7,,27,1,,257,60,4.5,43.3,43.5,0.9,,3.5,0.1,,32.9,7.7
AUSTIN ISD,CLAYTON EL,TRAVIS,-95.265837,30.110581,23300 SORTERS RD,PORTER,77365,227901184,01-01-11,871,12,125,601,4,,84,0,,25,49,1.4,14.4,69,0.5,,9.6,0,,2.9,5.6
AUSTIN ISD,BLAZIER EL,TRAVIS,-95.240157,29.659595,900 COLLEGE AVE,SO HOUSTON,77587,227901185,01-01-11,776,62,604,77,5,,18,0,,603,258,8,77.8,9.9,0.6,,2.3,0,,77.7,33.2
AUSTIN ISD,BALDWIN EL,TRAVIS,-94.107467,30.068944,1050 AVE E,BEAUMONT,77701,227901187,01-01-11,506,7,114,334,0,,38,0,,73,67,1.4,22.5,66,0,,7.5,0,,14.4,13.2
AUSTIN ISD,OVERTON EL,TRAVIS,-97.010437,32.657721,145 POLO RD,GRAND PRAIRIE,75052,227901189,01-01-11,655,196,448,2,3,,0,0,,624,345,29.9,68.4,0.3,0.5,,0,0,,95.3,52.7
AUSTIN ISD,PEREZ EL,TRAVIS,-102.337236,31.869165,2700 DISNEY ST,ODESSA,79761,227901190,01-01-11,881,53,773,41,2,,2,0,,815,442,6,87.7,4.7,0.2,,0.2,0,,92.5,50.2
AUSTIN ISD,AUSTIN ST HOSPITAL,TRAVIS,-98.077886,26.230203000000124,7250 N VAL VERDE RD,DONNA,78537,227901250,01-01-11,16,7,3,6,0,,0,0,,0,0,43.8,18.8,37.5,0,,0,0,,0,0
AUSTIN ISD,ROSEDALE,TRAVIS,-95.557383,29.681192,9421 W SAM HOUSTON PKWY S,HOUSTON,77099,227901251,01-01-11,150,33,60,46,0,,7,0,,81,22,22,40,30.7,0,,4.7,0,,54,14.7
PFLUGERVILLE ISD,PFLUGERVILLE H S,TRAVIS,-98.616414,29.494265,6632 BANDERA,SAN ANTONIO,78238,227904001,01-01-11,2257,512,809,697,11,,155,4,,845,86,22.7,35.8,30.9,0.5,,6.9,0.2,,37.4,3.8
PFLUGERVILLE ISD,JOHN B CONNALLY H S,TRAVIS,-97.09983,31.600765,555 N LOOP 340,WACO,76705,227904003,01-01-11,2061,518,932,258,11,,283,2,,1240,247,25.1,45.2,12.5,0.5,,13.7,0.1,,60.2,12
PFLUGERVILLE ISD,HENDRICKSON H S,TRAVIS,-97.429542,27.753940000000114,1707 AYERS,CORPUS CHRISTI,78404,227904004,01-01-11,2161,423,765,783,11,,111,5,,760,107,19.6,35.4,36.2,0.5,,5.1,0.2,,35.2,5
PFLUGERVILLE ISD,TRAVIS CO J J A E P,TRAVIS,-95.436034,29.715352000000117,3756 UNIVERSITY BLVD,HOUSTON,77005,227904008,01-01-11,2,1,1,0,0,,0,0,,1,0,50,50,0,0,,0,0,,50,0
PFLUGERVILLE ISD,PFLUGERVILLE MIDDLE,TRAVIS,-97.065998,32.731526000000144,2401 ROBERTS CIR,ARLINGTON,76010,227904041,01-01-11,1019,199,454,260,4,,54,1,,504,129,19.5,44.6,25.5,0.4,,5.3,0.1,,49.5,12.7
PFLUGERVILLE ISD,WESTVIEW MIDDLE,TRAVIS,-95.343177999999853,29.530455,4719 BAILEY RD,PEARLAND,77584,227904042,01-01-11,975,205,545,118,6,,71,3,,700,237,21,55.9,12.1,0.6,,7.3,0.3,,71.8,24.3
PFLUGERVILLE ISD,PARK CREST MIDDLE,TRAVIS,-97.311999,32.724873,1201 E JEFFERSON AVE,FORT WORTH,76104,227904043,01-01-11,924,226,315,271,4,,74,1,,393,48,24.5,34.1,29.3,0.4,,8,0.1,,42.5,5.2
PFLUGERVILLE ISD,DESSAU MIDDLE,TRAVIS,-99.759957,32.444856000000136,2970 S 6TH ST,ABILENE,79605,227904045,01-01-11,998,223,493,134,4,,103,0,,728,169,22.3,49.4,13.4,0.4,,10.3,0,,72.9,16.9
PFLUGERVILLE ISD,KELLY LANE MIDDLE,TRAVIS,-95.497887,29.7068890000001,6565 DE MOSS DR,HOUSTON,77074,227904046,01-01-11,1099,187,349,475,6,,41,5,,286,35,17,31.8,43.2,0.5,,3.7,0.5,,26,3.2
PFLUGERVILLE ISD,PFLUGERVILLE EL,TRAVIS,-96.815323,32.752546000000102,330 N MARSALIS AVE,DALLAS,75203,227904101,01-01-11,503,72,191,187,3,,23,1,,189,58,14.3,38,37.2,0.6,,4.6,0.2,,37.6,11.5
PFLUGERVILLE ISD,PARMER LANE EL,TRAVIS,-98.56472,29.038496,1100 SCHOOL DR,POTEET,78065,227904102,01-01-11,544,55,344,75,4,,52,1,,363,265,10.1,63.2,13.8,0.7,,9.6,0.2,,66.7,48.7
PFLUGERVILLE ISD,TIMMERMAN EL,TRAVIS,-106.241037,31.562564000000123,13981 SOCORRO RD,SAN ELIZARIO,79849,227904103,01-01-11,573,97,196,178,7,,77,1,,265,92,16.9,34.2,31.1,1.2,,13.4,0.2,,46.2,16.1
PFLUGERVILLE ISD,NORTHWEST EL,TRAVIS,-97.280129,30.177679,151 TIGER WOODS DR,BASTROP,78602,227904104,01-01-11,633,123,279,127,1,,72,0,,403,160,19.4,44.1,20.1,0.2,,11.4,0,,63.7,25.3
PFLUGERVILLE ISD,DESSAU EL,TRAVIS,-97.44978,25.892024000000106,200 ESPERANZA RD,BROWNSVILLE,78521,227904105,01-01-11,602,88,397,43,0,,55,2,,501,308,14.6,65.9,7.1,0,,9.1,0.3,,83.2,51.2
PFLUGERVILLE ISD,WINDERMERE EL,TRAVIS,-97.483401,26.074856,30515 FARM RD 1847,SAN BENITO,78586,227904106,01-01-11,481,118,176,135,6,,28,0,,252,59,24.5,36.6,28.1,1.2,,5.8,0,,52.4,12.3
PFLUGERVILLE ISD,RIVER OAKS EL,TRAVIS,-97.999779,26.301219,500 W 9TH ST,ELSA,78543,227904107,01-01-11,498,137,226,73,3,,38,0,,378,146,27.5,45.4,14.7,0.6,,7.6,0,,75.9,29.3
PFLUGERVILLE ISD,BROOKHOLLOW EL,TRAVIS,-96.568358,33.341716,1221 S FERGUSON PKWY,ANNA,75409,227904108,01-01-11,550,133,153,186,3,,46,0,,232,55,24.2,27.8,33.8,0.5,,8.4,0,,42.2,10
PFLUGERVILLE ISD,SPRINGHILL EL,TRAVIS,-99.272254999999873,29.331495,6751 CR 5216,D'HANIS,78850,227904109,01-01-11,721,104,394,150,0,,52,0,,446,253,14.4,54.6,20.8,0,,7.2,0,,61.9,35.1
PFLUGERVILLE ISD,WINDERMERE PRI,TRAVIS,-95.407256,29.91879,11201 AIRLINE DR,HOUSTON,77037,227904110,01-01-11,603,125,237,173,7,,34,2,,325,103,20.7,39.3,28.7,1.2,,5.6,0.3,,53.9,17.1
PFLUGERVILLE ISD,COPPERFIELD EL,TRAVIS,-97.643466,30.398595,12900 DESSAU RD,AUSTIN,78754,227904111,01-01-11,609,78,462,36,0,,20,0,,532,333,12.8,75.9,5.9,0,,3.3,0,,87.4,54.7
PFLUGERVILLE ISD,MURCHISON EL,TRAVIS,-97.317574,33.026675,2200 TEXAN DR,JUSTIN,76247,227904112,01-01-11,803,106,253,364,3,,37,0,,181,63,13.2,31.5,45.3,0.4,,4.6,0,,22.5,7.8
